fundingInterval,fundingRate,fundingRateDaily,symbol,timestamp
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-15 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000412,0.001236,XBTUSD,2020-02-15 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000848,0.0025440000000000003,XBTUSD,2020-02-14 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0004730000000000001,0.001419,XBTUSD,2020-02-14 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.00031,0.00093,XBTUSD,2020-02-14 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000839,0.002517,XBTUSD,2020-02-13 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000554,0.001662,XBTUSD,2020-02-13 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000466,0.001398,XBTUSD,2020-02-13 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.001006,0.003018,XBTUSD,2020-02-12 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0008410000000000001,0.002523,XBTUSD,2020-02-12 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000424,0.001272,XBTUSD,2020-02-12 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000425,0.001275,XBTUSD,2020-02-11 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000484,0.001452,XBTUSD,2020-02-11 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000138,0.000414,XBTUSD,2020-02-11 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000696,0.002088,XBTUSD,2020-02-10 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000502,0.001506,XBTUSD,2020-02-10 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0007,0.0021,XBTUSD,2020-02-10 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000584,0.0017519999999999999,XBTUSD,2020-02-09 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000227,0.000681,XBTUSD,2020-02-09 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000556,0.0016679999999999998,XBTUSD,2020-02-09 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000301,0.000903,XBTUSD,2020-02-08 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.00024900000000000004,0.0007469999999999999,XBTUSD,2020-02-08 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.00027400000000000005,0.000822,XBTUSD,2020-02-08 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000778,0.002334,XBTUSD,2020-02-07 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.000472,0.001416,XBTUSD,2020-02-07 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000298,0.0008939999999999998,XBTUSD,2020-02-07 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000534,0.001602,XBTUSD,2020-02-06 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.001201,0.003603,XBTUSD,2020-02-06 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.000708,0.002124,XBTUSD,2020-02-06 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.000493,0.0014789999999999998,XBTUSD,2020-02-05 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-05 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-05 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.00011200000000000001,0.000336,XBTUSD,2020-02-04 20:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-04 12:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-04 04:00:00+00:00
2000-01-01T08:00:00.000Z,0.0001,0.00030000000000000003,XBTUSD,2020-02-03 20:00:00+00:00
