,Date,Mining Revenue
343,2019-03-07,6388631.3375
344,2019-03-06,7114388.35177
345,2019-03-05,6497311.76435
346,2019-03-04,7016670.61795
347,2019-03-03,6565214.95545
348,2019-03-02,7830758.117889999
349,2019-03-01,7350871.434669999
350,2019-02-28,6801908.8466300005
351,2019-02-27,7878415.30725
352,2019-02-26,6913971.36597
353,2019-02-25,7119748.032210001
354,2019-02-24,7190247.7829
355,2019-02-23,8096363.881860001
356,2019-02-22,6051778.48558
357,2019-02-21,6596656.214819999
358,2019-02-20,7748245.93828
359,2019-02-19,7556019.108519999
360,2019-02-18,7185045.43073
361,2019-02-17,6898485.341010001
362,2019-02-16,5762323.41641
363,2019-02-15,6566282.27194
364,2019-02-14,6976103.87653
365,2019-02-13,6031364.55756
366,2019-02-12,6693602.408
367,2019-02-11,6454979.70124
368,2019-02-10,6845104.3482
369,2019-02-09,7184754.27316
370,2019-02-08,7375022.02375
371,2019-02-07,6985845.57388
372,2019-02-06,6422102.20495
373,2019-02-05,6411524.44993
374,2019-02-04,6044025.21309
375,2019-02-03,6325531.024180001
376,2019-02-02,6857975.37196
377,2019-02-01,6731427.32322
378,2019-01-31,5884537.246040001
379,2019-01-30,6364552.33446
380,2019-01-29,6318406.83136
381,2019-01-28,6393436.1979
382,2019-01-27,6857448.82583
383,2019-01-26,6309969.922809999
384,2019-01-25,7364947.57141
385,2019-01-24,6683461.5332
386,2019-01-23,5844342.94108
387,2019-01-22,6723982.956569999
388,2019-01-21,7156712.10523
389,2019-01-20,6200364.55355
390,2019-01-19,6341863.7318400005
391,2019-01-18,5831717.370069999
392,2019-01-17,6111181.62426
393,2019-01-16,6111232.21799
394,2019-01-15,6784730.48244
395,2019-01-14,6215764.149230001
396,2019-01-13,6352381.99386
397,2019-01-12,6853670.7248599995
398,2019-01-11,7533079.22958
399,2019-01-10,8367487.8475399995
400,2019-01-09,8610282.07595
401,2019-01-08,7209979.6621199995
402,2019-01-07,6974865.18403
403,2019-01-06,7929513.785019999
404,2019-01-05,7194486.33048
405,2019-01-04,7564081.637239999
406,2019-01-03,7368988.35595
407,2019-01-02,7030739.128880001
408,2019-01-01,7406437.5892
409,2018-12-31,8485747.74684
410,2018-12-30,6808599.98263
411,2018-12-29,7882682.2402
412,2018-12-28,8214950.877739999
413,2018-12-27,7569379.54805
414,2018-12-26,7649829.927180001
415,2018-12-25,8035501.839389999
416,2018-12-24,8922674.958239999
