,Date,Hashrate_Price_Multiple
290,2019-04-29,51477170.5469
291,2019-04-28,43266088.1284
292,2019-04-27,47687440.1999
293,2019-04-26,45160953.3019
294,2019-04-25,51477170.5469
295,2019-04-24,36634060.0211
296,2019-04-23,42318655.5417
297,2019-04-22,51199133.0238
298,2019-04-21,41631660.1877
299,2019-04-20,48305437.7751
300,2019-04-19,47352040.9769
301,2019-04-18,43856252.7168
302,2019-04-17,46080845.24600001
303,2019-04-16,46080845.24600001
304,2019-04-15,38771469.7931
305,2019-04-14,42902855.9186
306,2019-04-13,47987638.8423
307,2019-04-12,49894432.4387
308,2019-04-11,47034242.0441
309,2019-04-10,41949459.1205
310,2019-04-09,47034242.0441
311,2019-04-08,44809649.515
312,2019-04-07,44081037.5637
313,2019-04-06,50104170.8893
314,2019-04-05,44396100.788
315,2019-04-04,45030330.7993
316,2019-04-03,49787055.8837
317,2019-04-02,43127640.7655
318,2019-04-01,44078985.7824
319,2019-03-31,44078985.7824
320,2019-03-30,46615905.8274
321,2019-03-29,46298790.8218
322,2019-03-28,47250135.8387
323,2019-03-27,42493410.7542
324,2019-03-26,46933020.833000004
325,2019-03-25,47490106.9906
326,2019-03-24,43744504.05899999
327,2019-03-23,48571483.8172
328,2019-03-22,43141131.5892
329,2019-03-21,48571483.8172
330,2019-03-20,52493404.8708
331,2019-03-19,48571483.8172
332,2019-03-18,44046190.2939
333,2019-03-17,49174856.287
334,2019-03-16,46157993.9381
335,2019-03-15,46761366.4079
336,2019-03-14,40727641.7101
337,2019-03-13,43141131.5892
338,2019-03-12,42839445.3543
339,2019-03-11,41045042.971
340,2019-03-10,41652968.3922
341,2019-03-09,44067633.2265
342,2019-03-08,42860300.8093
343,2019-03-07,38634637.3493
344,2019-03-06,44973132.5394
345,2019-03-05,41351135.2879
346,2019-03-04,44067633.2265
347,2019-03-03,39841969.7664
348,2019-03-02,48896962.8952
349,2019-03-01,45274965.6437
350,2019-02-28,42558467.7051
351,2019-02-27,48595129.7909
352,2019-02-26,43162133.9136
353,2019-02-25,41298258.2978
354,2019-02-24,43088722.1701
355,2019-02-23,48813797.1438
356,2019-02-22,35857048.5192
357,2019-02-21,39171565.6092
358,2019-02-20,47005878.731000006
359,2019-02-19,46704558.9956
360,2019-02-18,47909837.9374
361,2019-02-17,45197960.3183
362,2019-02-16,38267606.4028
363,2019-02-15,42486082.6992
364,2019-02-14,46101919.5247
365,2019-02-13,38568926.1383
366,2019-02-12,43691361.641
367,2019-02-11,41018987.2961
368,2019-02-10,43357261.8958
369,2019-02-09,47114891.26
370,2019-02-08,50294423.7991
371,2019-02-07,47403939.6727
372,2019-02-06,42490116.6578
373,2019-02-05,42490116.6578
374,2019-02-04,39888680.9441
375,2019-02-03,41622971.4199
376,2019-02-02,45669649.1969
377,2019-02-01,44802503.9589
378,2019-01-31,39310584.1188
379,2019-01-30,42201068.2452
380,2019-01-29,42070546.8156
381,2019-01-28,40071767.2419
382,2019-01-27,43874197.7101
383,2019-01-26,40364261.8933
384,2019-01-25,47384133.5269
385,2019-01-24,42704219.1045
386,2019-01-23,38024304.6821
387,2019-01-22,43874197.7101
388,2019-01-21,45921660.2699
389,2019-01-20,38901788.6363
390,2019-01-19,40364261.8933
391,2019-01-18,37146820.7279
392,2019-01-17,38901788.6363
393,2019-01-16,38609293.9849
394,2019-01-15,43581703.0587
395,2019-01-14,38264362.2983
396,2019-01-13,38543664.2129
397,2019-01-12,41336683.3588
398,2019-01-11,43571098.6755
399,2019-01-10,45805513.9922
400,2019-01-09,47202023.5651
401,2019-01-08,39381569.9567
402,2019-01-07,39381569.9567
403,2019-01-06,45526212.0776
404,2019-01-05,41615985.2734
405,2019-01-04,43291796.7609
406,2019-01-03,42174589.1025
407,2019-01-02,41615985.2734
408,2019-01-01,43291796.7609
