,Unnamed: 0,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades, taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date,Date,Bitcoin_Adjusted_Difficulty,f_name
10,10,2017-08-27 01:00:00,4332.51,4400.0,4285.54,4310.01,350.692585,2017-08-28 00:59:59.999,1521580.06202557,3670,101.651358,442442.17937215,11456.95307303,2017-08-27,2017-08-27,888171856257.0,4635882.55746
11,11,2017-08-28 01:00:00,4310.01,4399.82,4124.54,4386.69,603.841616,2017-08-29 00:59:59.999,2591660.52579953,4349,142.787782,612364.20611134,11075.45841897,2017-08-28,2017-08-28,888171856257.0,6843445.68006
12,12,2017-08-29 01:00:00,4353.65,4625.85,4313.55,4587.48,603.545028,2017-08-30 00:59:59.999,2682483.73582991,4159,143.442567,641982.02068658,11050.54761867,2017-08-29,2017-08-29,888171856257.0,5695512.85631
13,13,2017-08-30 01:00:00,4564.52,4647.51,4416.01,4555.14,808.468771,2017-08-31 00:59:59.999,3683714.68666123,5551,196.062252,894620.23750883,11438.9152736,2017-08-30,2017-08-30,888171856257.0,6578538.10535
14,14,2017-08-31 01:00:00,4555.14,4745.42,4555.14,4724.89,556.956802,2017-09-01 00:59:59.999,2579878.72401184,4161,131.947325,614342.53390234,10779.83873125,2017-08-31,2017-08-31,888171856257.0,7417412.09193
15,15,2017-09-01 01:00:00,4689.89,4885.55,4654.88,4834.91,560.666366,2017-09-02 00:59:59.999,2665165.55924616,4000,118.660103,566254.43089734,10906.14445652,2017-09-01,2017-09-01,888171856257.0,7196655.77967
16,16,2017-09-02 01:00:00,4796.16,4939.19,4286.87,4472.14,929.148595,2017-09-03 00:59:59.999,4257723.944817,7475,379.199863,1738334.08541735,11416.45790779,2017-09-02,2017-09-02,888171856257.0,7682319.66665
17,17,2017-09-03 01:00:00,4508.5,4714.76,4298.33,4509.08,691.216198,2017-09-04 00:59:59.999,3121052.75230181,6022,258.934536,1169644.69159694,12653.02927308,2017-09-03,2017-09-03,888171856257.0,7240807.04213
18,18,2017-09-04 01:00:00,4505.0,4527.49,3972.51,4100.11,1394.644614,2017-09-05 00:59:59.999,5909947.49008974,9317,578.600851,2460362.61291664,11672.89407588,2017-09-04,2017-09-04,888171856257.0,6799294.41761
19,19,2017-09-05 01:00:00,4106.97,4484.99,3603.0,4366.47,1228.938157,2017-09-06 00:59:59.999,5083453.18675071,10084,533.476065,2214297.83961246,11938.20199421,2017-09-05,2017-09-05,888171856257.0,7726470.9291
20,20,2017-09-06 01:00:00,4366.49,4662.87,4335.26,4619.77,807.363726,2017-09-07 00:59:59.999,3626346.05544323,7956,422.923063,1903231.7409154,11138.37278647,2017-09-06,2017-09-06,888171856257.0,8697798.70304
21,21,2017-09-07 01:00:00,4619.77,4788.59,4438.19,4691.61,500.429975,2017-09-08 00:59:59.999,2305795.13638315,3070,240.683949,1111299.24357466,11536.41291735,2017-09-07,2017-09-07,903315386419.0,7430760.765989999
22,22,2017-09-08 01:00:00,4691.66,4735.39,4028.93,4282.8,1132.255046,2017-09-09 00:59:59.999,4866527.22639337,4733,465.962119,2004277.28941755,11115.57334676,2017-09-08,2017-09-08,922724699725.0,8072925.27664
23,23,2017-09-09 01:00:00,4282.8,4426.62,4150.06,4258.81,658.782952,2017-09-10 00:59:59.999,2815383.46568698,3777,287.989805,1233627.00774409,10748.7487586,2017-09-09,2017-09-09,922724699725.0,8027056.38302
24,24,2017-09-10 01:00:00,4258.81,4283.0,3801.0,4130.37,660.373275,2017-09-11 00:59:59.999,2700371.80819211,3435,291.786887,1193884.03650449,10431.32749057,2017-09-10,2017-09-10,922724699725.0,7751843.021319999
25,25,2017-09-11 01:00:00,4153.62,4334.43,4098.91,4208.47,699.989065,2017-09-12 00:59:59.999,2956842.76250147,4228,322.19833,1361869.71324406,10696.14858553,2017-09-11,2017-09-11,922724699725.0,6329907.319180001
26,26,2017-09-12 01:00:00,4208.6,4394.59,4040.8,4163.72,879.630319,2017-09-13 00:59:59.999,3725190.62328952,6501,451.78067,1911015.26637066,10753.20738857,2017-09-12,2017-09-12,922724699725.0,7981187.4894
27,27,2017-09-13 01:00:00,4159.72,4165.38,3760.0,3944.69,913.462545,2017-09-14 00:59:59.999,3570365.92571669,5019,363.053413,1425986.44091325,10140.67501448,2017-09-13,2017-09-13,922724699725.0,8623352.00004
28,28,2017-09-14 01:00:00,3944.0,3993.0,3165.13,3189.02,1665.021543,2017-09-15 00:59:59.999,5914261.40460825,9066,761.153976,2711572.43635069,10046.01068952,2017-09-14,2017-09-14,922724699725.0,8715089.78728
29,29,2017-09-15 01:00:00,3188.01,3856.0,2817.0,3700.0,1968.866492,2017-09-16 00:59:59.999,6588767.18669446,10445,966.122245,3236325.66838306,9252.64943218,2017-09-15,2017-09-15,922724699725.0,7981187.4894
30,30,2017-09-16 01:00:00,3674.01,3950.0,3470.66,3714.95,1297.563953,2017-09-17 00:59:59.999,4804878.24721283,8809,624.887842,2314536.03271908,8845.90190543,2017-09-16,2017-09-16,922724699725.0,8256400.8511
31,31,2017-09-17 01:00:00,3685.23,3748.21,3499.02,3699.99,682.17121,2017-09-18 00:59:59.999,2466490.27859466,6355,273.931976,994843.63045949,8391.64647834,2017-09-17,2017-09-17,922724699725.0,7751843.021319999
32,32,2017-09-18 01:00:00,3690.0,4123.2,3690.0,4035.01,1030.006455,2017-09-19 00:59:59.999,4069033.05715863,8220,417.638722,1651863.37125876,8105.35030419,2017-09-18,2017-09-18,922724699725.0,8072925.27664
33,33,2017-09-19 01:00:00,4060.0,4089.97,3830.91,3910.04,902.332129,2017-09-20 00:59:59.999,3558315.19743872,7342,257.320352,1016803.88177532,7553.27397114,2017-09-19,2017-09-19,1052185622750.0,6965995.45168
34,34,2017-09-20 01:00:00,3910.04,4046.08,3820.0,3900.0,720.935076,2017-09-21 00:59:59.999,2839584.45308804,7231,395.275138,1562210.14983916,7439.36194465,2017-09-20,2017-09-20,1103400932960.0,8556655.83041
35,35,2017-09-21 01:00:00,3889.99,3910.0,3567.0,3609.99,1001.654084,2017-09-22 00:59:59.999,3757043.07821264,8714,517.258926,1946238.63873747,7506.06276719,2017-09-21,2017-09-21,1103400932960.0,6417491.87281
36,36,2017-09-22 01:00:00,3592.84,3750.0,3505.55,3595.87,838.966425,2017-09-23 00:59:59.999,3031771.43292849,8152,511.059869,1848104.61254174,7653.40066377,2017-09-22,2017-09-22,1103400932960.0,9653662.98815
37,37,2017-09-23 01:00:00,3595.88,3817.19,3542.91,3780.0,752.792791,2017-09-24 00:59:59.999,2799706.99951511,8402,431.94671,1608679.14327472,7779.08973354,2017-09-23,2017-09-23,1103400932960.0,7624199.74632
38,38,2017-09-24 01:00:00,3779.54,3789.99,3622.76,3660.02,661.63639,2017-09-25 00:59:59.999,2445788.43620041,8724,290.93917,1077964.32638088,7915.33467487,2017-09-24,2017-09-24,1103400932960.0,9105159.40928
39,39,2017-09-25 01:00:00,3660.02,3979.87,3653.69,3920.75,727.994713,2017-09-26 00:59:59.999,2784170.85318322,9740,298.839159,1144089.17964881,8173.23574241,2017-09-25,2017-09-25,1103400932960.0,7953301.89365
40,40,2017-09-26 01:00:00,3928.0,3976.99,3850.05,3882.35,526.727987,2017-09-27 00:59:59.999,2061195.57868009,7971,225.570283,883925.0185633,8870.39452351,2017-09-26,2017-09-26,1103400932960.0,6856294.7359
41,41,2017-09-27 01:00:00,3882.36,4249.94,3872.81,4193.0,628.170966,2017-09-28 00:59:59.999,2554629.81447101,8373,348.083641,1418522.03112125,9629.05334499,2017-09-27,2017-09-27,1103400932960.0,7569349.388439999
42,42,2017-09-28 01:00:00,4192.11,4300.0,4101.0,4174.5,849.785325,2017-09-29 00:59:59.999,3553178.87037354,11426,364.517452,1525467.35780567,10915.25822059,2017-09-28,2017-09-28,1103400932960.0,8063002.60942
43,43,2017-09-29 01:00:00,4178.98,4263.86,3952.01,4174.69,1602.309565,2017-09-30 00:59:59.999,6571746.35900076,14834,660.408235,2706153.81551434,10839.14992836,2017-09-29,2017-09-29,1103400932960.0,9708513.34604
44,44,2017-09-30 01:00:00,4175.0,4380.0,4138.1,4378.51,720.353183,2017-10-01 00:59:59.999,3088354.40084536,9324,292.966693,1258540.22252994,11158.76978487,2017-09-30,2017-09-30,1103400932960.0,9269710.48294
45,45,2017-10-01 01:00:00,4378.49,4406.52,4240.04,4378.48,726.963685,2017-10-02 00:59:59.999,3137143.89184457,9816,291.975904,1263465.86667018,12307.06710083,2017-10-01,2017-10-01,1103400932960.0,7569349.388439999
46,46,2017-10-02 01:00:00,4400.0,4561.63,4360.0,4380.0,655.756974,2017-10-03 00:59:59.999,2905282.77570845,8185,289.541406,1286786.89051625,12741.57240735,2017-10-02,2017-10-02,1103400932960.0,7130546.525339999
47,47,2017-10-03 01:00:00,4380.0,4467.33,4180.8,4310.0,1082.323563,2017-10-04 00:59:59.999,4627422.74283879,12379,492.735181,2107462.11039911,12115.87839548,2017-10-03,2017-10-03,1123590453770.0,8380132.03961
48,48,2017-10-04 01:00:00,4314.9,4373.0,4142.0,4208.59,868.465101,2017-10-05 00:59:59.999,3676415.10054891,11006,292.928777,1237552.36930596,11935.85608959,2017-10-04,2017-10-04,1123863285130.0,10223761.0883
49,49,2017-10-05 01:00:00,4208.59,4355.0,4110.0,4292.43,779.138638,2017-10-06 00:59:59.999,3295532.82397779,9158,351.042019,1483036.83360606,11978.70488858,2017-10-05,2017-10-05,1123863285130.0,7486251.28872
50,50,2017-10-06 01:00:00,4318.99,4417.0,4292.0,4369.0,506.529176,2017-10-07 00:59:59.999,2212035.12414239,6546,226.148177,988106.60264063,11712.06979077,2017-10-06,2017-10-06,1123863285130.0,6983443.366339999
51,51,2017-10-07 01:00:00,4369.0,4479.5,4312.56,4423.0,297.5975,2017-10-08 00:59:59.999,1302533.21459281,4804,145.313076,637146.85809303,11793.42539755,2017-10-07,2017-10-07,1123863285130.0,8882939.961989999
52,52,2017-10-08 01:00:00,4425.0,4658.0,4425.0,4640.0,518.462004,2017-10-09 00:59:59.999,2347356.46944654,7580,280.094854,1268660.82999198,12341.69993665,2017-10-08,2017-10-08,1123863285130.0,8827072.41506
53,53,2017-10-09 01:00:00,4640.0,4889.98,4550.0,4786.95,646.463145,2017-10-10 00:59:59.999,3040508.90436387,10372,350.756559,1654274.63749423,12767.59474695,2017-10-09,2017-10-09,1123863285130.0,10167893.5414
54,54,2017-10-10 01:00:00,4786.95,4960.0,4680.59,4783.06,1043.221773,2017-10-11 00:59:59.999,5044283.86347582,11967,678.832674,3289613.76073974,13164.13983532,2017-10-10,2017-10-10,1123863285130.0,8994675.05585
55,55,2017-10-11 01:00:00,4783.06,4881.61,4710.0,4821.43,753.429396,2017-10-12 00:59:59.999,3609240.90903919,5895,540.087975,2586977.71897445,12765.89768461,2017-10-11,2017-10-11,1123863285130.0,8938807.508919999
56,56,2017-10-12 01:00:00,4821.43,5439.99,4810.16,5430.0,1276.701482,2017-10-13 00:59:59.999,6659759.29119366,8030,796.594719,4149667.59915114,12748.51390836,2017-10-12,2017-10-12,1123863285130.0,7765589.02337
57,57,2017-10-13 01:00:00,5439.99,5846.17,5379.84,5649.98,1879.82762,2017-10-14 00:59:59.999,10597340.30104987,11663,878.638077,4945786.36371635,12777.60251647,2017-10-13,2017-10-13,1123863285130.0,8547734.680410001
58,58,2017-10-14 01:00:00,5650.0,5900.0,5580.01,5869.99,970.759046,2017-10-15 00:59:59.999,5533972.4859947,6259,433.794904,2472775.20446234,12798.84104654,2017-10-14,2017-10-14,1123863285130.0,7597986.38258
59,59,2017-10-15 01:00:00,5855.03,5922.3,5400.01,5709.99,1343.523375,2017-10-16 00:59:59.999,7553650.20132813,7452,601.422361,3384776.70651666,12726.86837082,2017-10-15,2017-10-15,1123863285130.0,7877324.11724
60,60,2017-10-16 01:00:00,5710.0,5788.91,5585.19,5760.02,1528.996462,2017-10-17 00:59:59.999,8701914.79553535,9153,719.218538,4096285.84717841,12715.45078732,2017-10-16,2017-10-16,1182954806240.0,11601113.0653
61,61,2017-10-17 01:00:00,5760.0,5774.98,5508.63,5595.0,1429.869376,2017-10-18 00:59:59.999,8041662.31881055,9755,688.766779,3874630.11789208,13016.22919753,2017-10-17,2017-10-17,1196792694100.0,10351762.4275
62,62,2017-10-18 01:00:00,5595.0,5596.0,5037.95,5512.06,2317.804373,2017-10-19 00:59:59.999,12456909.97604373,14824,1039.622475,5582555.96464678,13189.72198084,2017-10-18,2017-10-18,1196792694100.0,9756833.55236
63,63,2017-10-19 01:00:00,5513.0,5710.0,5490.26,5683.9,1881.722107,2017-10-20 00:59:59.999,10609368.77338359,11553,866.172234,4889254.26776489,13428.74934808,2017-10-19,2017-10-19,1196792694100.0,8983426.01467
64,64,2017-10-20 01:00:00,5683.31,6110.0,5600.0,6010.01,1972.97722,2017-10-21 00:59:59.999,11486552.1888066,11656,833.037457,4827682.43818362,13852.63178273,2017-10-20,2017-10-20,1196792694100.0,10589733.9776
65,65,2017-10-21 01:00:00,6013.72,6171.0,5850.03,6024.97,1664.307693,2017-10-22 00:59:59.999,10114821.44026351,10182,796.022575,4842552.09005084,14145.57907082,2017-10-21,2017-10-21,1196792694100.0,10649226.8651
66,66,2017-10-22 01:00:00,6003.27,6060.0,5720.03,5950.02,1362.092216,2017-10-23 00:59:59.999,8035415.37335629,8846,559.072342,3298113.25431534,14069.26805535,2017-10-22,2017-10-22,1196792694100.0,9102411.7897
67,67,2017-10-23 01:00:00,5975.0,6080.0,5621.03,5915.93,1812.557715,2017-10-24 00:59:59.999,10607190.98072695,10736,733.791079,4292971.67402233,15590.77109723,2017-10-23,2017-10-23,1196792694100.0,10827705.5276
68,68,2017-10-24 01:00:00,5909.47,5925.0,5450.0,5477.03,2580.418767,2017-10-25 00:59:59.999,14564495.85056032,13075,1128.826117,6369508.22114772,15165.30044243,2017-10-24,2017-10-24,1196792694100.0,10173283.765
69,69,2017-10-25 01:00:00,5506.92,5704.96,5286.98,5689.99,2282.813205,2017-10-26 00:59:59.999,12544847.89154201,12026,1102.091326,6072831.20164732,14935.82000712,2017-10-25,2017-10-25,1196792694100.0,9935312.2149
70,70,2017-10-26 01:00:00,5670.1,5939.99,5650.0,5861.77,1972.965882,2017-10-27 00:59:59.999,11417126.63602561,11429,779.739997,4524676.60186949,14848.80399429,2017-10-26,2017-10-26,1196792694100.0,11006184.1902
71,71,2017-10-27 01:00:00,5861.77,5980.0,5649.24,5768.83,1403.706416,2017-10-28 00:59:59.999,8167069.73635031,8305,624.087409,3639525.74476665,14768.28639563,2017-10-27,2017-10-27,1233777273050.0,12999790.287
72,72,2017-10-28 01:00:00,5768.79,5850.02,5630.03,5719.64,1276.754412,2017-10-29 00:59:59.999,7308076.01911184,8556,522.437128,2992463.28829385,15128.6327094,2017-10-28,2017-10-28,1452839779140.0,7510989.943589999
73,73,2017-10-29 01:00:00,5709.98,6189.88,5648.01,6169.98,1804.778173,2017-10-29 23:59:59.999,10620967.62459168,10651,954.170196,5607341.71306722,15033.66434266,2017-10-29,2017-10-29,1452839779140.0,6138789.85775
74,74,2017-10-30 00:00:00,6133.01,6248.68,6030.0,6120.5,1473.687043,2017-10-30 23:59:59.999,9030219.28673499,9027,568.13297,3484470.96871416,15422.10308205,2017-10-30,2017-10-30,1452839779140.0,11122042.8011
75,75,2017-10-31 00:00:00,6120.52,6498.01,6100.0,6463.0,1511.774925,2017-10-31 23:59:59.999,9487640.8400991,12503,666.763568,4189144.86604943,15785.31815937,2017-10-31,2017-10-31,1452839779140.0,10616495.401
76,76,2017-11-01 00:00:00,6463.0,6774.67,6338.02,6753.98,1675.615188,2017-11-01 23:59:59.999,10951171.07254041,16775,681.762424,4456444.95893702,16751.57359735,2017-11-01,2017-11-01,1452839779140.0,9966505.88669
77,77,2017-11-02 00:00:00,6753.98,7300.0,6685.1,7019.98,2503.610803,2017-11-02 23:59:59.999,17369001.33091877,20222,1152.043042,8002005.80575711,18700.68208091,2017-11-02,2017-11-02,1452839779140.0,7872095.229339999
78,78,2017-11-03 00:00:00,7010.31,7346.34,6923.0,7115.04,1891.497592,2017-11-03 23:59:59.999,13614451.74654126,15375,790.186344,5689002.21482195,18555.29878963,2017-11-03,2017-11-03,1452839779140.0,10833158.5725
79,79,2017-11-04 00:00:00,7115.02,7480.99,6901.0,7357.09,1399.191767,2017-11-04 23:59:59.999,10064538.39659038,13395,638.387268,4597312.95311455,18835.77861881,2017-11-04,2017-11-04,1452839779140.0,8594305.80084
80,80,2017-11-05 00:00:00,7357.27,7590.25,7279.02,7345.01,1207.83233,2017-11-05 23:59:59.999,9000403.86573288,11090,540.675195,4027338.87761942,19065.20952449,2017-11-05,2017-11-05,1452839779140.0,9388737.42949
81,81,2017-11-06 00:00:00,7345.1,7401.0,6906.0,6960.12,1763.019261,2017-11-06 23:59:59.999,12673524.6216398,13525,730.003787,5258426.96569148,19567.37120081,2017-11-06,2017-11-06,1452839779140.0,10183169.0581
82,82,2017-11-07 00:00:00,6981.72,7198.49,6901.0,7064.04,1440.259494,2017-11-07 23:59:59.999,10173272.33780804,13132,591.187992,4181187.39303234,20220.5235436,2017-11-07,2017-11-07,1452839779140.0,9605400.60094
83,83,2017-11-08 00:00:00,7070.0,7770.02,6651.0,7303.0,2822.298802,2017-11-08 23:59:59.999,20491286.19840822,24381,1291.344472,9394534.42380506,20208.86059116,2017-11-08,2017-11-08,1452839779140.0,11266484.9154
84,84,2017-11-09 00:00:00,7303.01,7392.0,7015.0,7079.99,1913.398308,2017-11-09 23:59:59.999,13798534.34721742,13818,724.154878,5221300.62862515,19895.28433849,2017-11-09,2017-11-09,1452839779140.0,10399832.2296
85,85,2017-11-10 00:00:00,7079.0,7279.91,6255.01,6506.98,3254.704105,2017-11-10 23:59:59.999,22083345.18396158,18889,1565.261439,10594456.21115611,19363.40956935,2017-11-10,2017-11-10,1452839779140.0,11049821.7439
86,86,2017-11-11 00:00:00,6503.0,6797.98,6100.0,6245.05,2754.156861,2017-11-11 23:59:59.999,17681445.46474999,17840,1127.476148,7260382.61767693,19243.13209845,2017-11-11,2017-11-11,1423367213140.0,8139094.744960001
87,87,2017-11-12 00:00:00,6245.05,6630.0,5325.01,5811.03,4968.483069,2017-11-12 23:59:59.999,29711508.60084671,31069,2267.410744,13607604.41635319,20778.87665623,2017-11-12,2017-11-12,1364422081120.0,5426063.16331
88,88,2017-11-13 00:00:00,5839.94,6697.47,5699.99,6465.99,2621.243039,2017-11-13 23:59:59.999,16498136.09913936,16165,1299.996919,8190123.54546063,21608.61544096,2017-11-13,2017-11-13,1364422081120.0,5426063.16331
89,89,2017-11-14 00:00:00,6465.99,6684.98,6311.07,6574.99,1254.292531,2017-11-14 23:59:59.999,8168729.97122799,10476,612.136202,3991112.7307127,22144.18020425,2017-11-14,2017-11-14,1364422081120.0,9495610.53579
90,90,2017-11-15 00:00:00,6575.99,7298.0,6575.99,7240.06,1779.605845,2017-11-15 23:59:59.999,12446186.45092821,10313,958.59199,6705958.0325874,22264.30302234,2017-11-15,2017-11-15,1364422081120.0,8681701.06129
91,91,2017-11-16 00:00:00,7240.14,7940.0,7076.0,7864.5,2331.95675,2017-11-16 23:59:59.999,17499577.25815967,14961,1196.410717,8973214.5702364,22959.91068207,2017-11-16,2017-11-16,1364422081120.0,10309520.0103
92,92,2017-11-17 00:00:00,7876.98,7989.0,7451.0,7699.19,3982.395925,2017-11-17 23:59:59.999,31024092.61951179,22012,1910.208237,14893068.96849563,24179.34035353,2017-11-17,2017-11-17,1364422081120.0,10309520.0103
93,93,2017-11-18 00:00:00,7680.01,7819.99,7422.0,7761.94,3954.266477,2017-11-18 23:59:59.999,30334498.31525712,18383,1891.340324,14512569.88845333,25021.81367794,2017-11-18,2017-11-18,1364422081120.0,11326906.8534
94,94,2017-11-19 00:00:00,7761.94,8123.15,7650.33,8038.0,3867.340444,2017-11-19 23:59:59.999,30322635.7689457,14897,2097.613346,16448877.84771707,25225.50785325,2017-11-19,2017-11-19,1364422081120.0,9224307.37762
95,95,2017-11-20 00:00:00,8057.11,8319.99,7954.0,8212.0,3886.634348,2017-11-20 23:59:59.999,31567135.38731295,20101,1816.366339,14741452.72913412,26699.12992969,2017-11-20,2017-11-20,1364422081120.0,10852126.3266
96,96,2017-11-21 00:00:00,8212.49,8400.0,7801.0,8119.51,4544.474016,2017-11-21 23:59:59.999,37074997.58090905,20798,2222.291215,18131894.11366924,26767.13145553,2017-11-21,2017-11-21,1364422081120.0,11869513.1697
97,97,2017-11-22 00:00:00,8091.09,8322.68,8091.09,8205.92,3545.00571,2017-11-22 23:59:59.999,29124078.47217724,14752,1823.860374,14992767.17647145,28100.57180547,2017-11-22,2017-11-22,1364422081120.0,11733861.5907
98,98,2017-11-23 00:00:00,8233.03,8260.0,8000.0,8019.99,4093.952687,2017-11-23 23:59:59.999,33400702.99957629,16625,2163.755131,17665030.24869222,33334.81199912,2017-11-23,2017-11-23,1364422081120.0,8342572.113589999
99,99,2017-11-24 00:00:00,8019.97,8369.0,7850.0,8138.0,4411.789112,2017-11-24 23:59:59.999,35840264.45804051,19754,2166.425275,17613353.73937526,34776.4850557,2017-11-24,2017-11-24,1364422081120.0,10648648.957999999
100,100,2017-11-25 00:00:00,8138.99,8734.78,8090.0,8700.01,4292.623682,2017-11-25 23:59:59.999,36093005.20140187,18632,2294.9233,19306904.20494265,34415.09051688,2017-11-25,2017-11-25,1361966821650.0,9977010.84138
101,101,2017-11-26 00:00:00,8700.04,9350.0,8604.72,9128.02,4147.380237,2017-11-26 23:59:59.999,37138533.83941873,19268,2035.291755,18226481.88953511,33666.3882631,2017-11-26,2017-11-26,1347001430560.0,10445729.4715
102,102,2017-11-27 00:00:00,9128.0,9654.28,9112.04,9650.0,4521.625707,2017-11-27 23:59:59.999,42961064.95202934,22806,2433.447575,23145323.64948013,33404.17124441,2017-11-27,2017-11-27,1347001430560.0,10244850.0586
103,103,2017-11-28 00:00:00,9650.0,9939.0,9570.5,9896.8,4917.210985,2017-11-28 23:59:59.999,48235644.0576554,18923,2431.138502,23851135.77284698,36125.64862144,2017-11-28,2017-11-28,1347001430560.0,11383166.7318
104,104,2017-11-29 00:00:00,9896.79,11300.03,8520.0,9687.88,13352.538715,2017-11-29 23:59:59.999,135976167.45757934,47894,8662.632362,88423971.28943045,35734.42290453,2017-11-29,2017-11-29,1347001430560.0,10445729.4715
105,105,2017-11-30 00:00:00,9687.88,10900.0,8850.8,9838.96,9389.574329,2017-11-30 23:59:59.999,91430904.34116387,41153,5360.660242,52384338.03597776,34507.18297716,2017-11-30,2017-11-30,1347001430560.0,11584046.1447
106,106,2017-12-01 00:00:00,9837.0,10898.0,9380.0,10782.99,6134.923633,2017-12-01 23:59:59.999,62260697.58291551,32375,3269.868588,33193672.16592109,35258.70264511,2017-12-01,2017-12-01,1347001430560.0,11182287.3189
107,107,2017-12-02 00:00:00,10775.04,11190.0,10620.0,10890.01,4765.439757,2017-12-02 23:59:59.999,52046689.84006951,29694,2390.194275,26111051.97904352,35491.76836387,2017-12-02,2017-12-02,1347001430560.0,12253644.1877
108,108,2017-12-03 00:00:00,10902.69,11825.0,10500.0,11165.41,5346.636524,2017-12-03 23:59:59.999,60350708.29332783,39335,2574.246187,29090180.16290429,36967.53447487,2017-12-03,2017-12-03,1347001430560.0,10780528.492999999
109,109,2017-12-04 00:00:00,11165.41,11600.0,10802.0,11579.0,4663.424562,2017-12-04 23:59:59.999,52814985.63993067,32232,2516.855031,28512751.47162289,38439.0128445,2017-12-04,2017-12-04,1347001430560.0,11784925.5576
110,110,2017-12-05 00:00:00,11571.03,11853.0,11447.68,11699.99,5550.732055,2017-12-05 23:59:59.999,64721253.04527842,31317,3135.630565,36570499.65542363,41389.60555981,2017-12-05,2017-12-05,1347001430560.0,12119724.5791
111,111,2017-12-06 00:00:00,11699.99,13615.23,11665.58,13550.05,6707.946319,2017-12-06 23:59:59.999,84409526.69576178,40196,3830.098381,48223185.56586906,45450.55273361,2017-12-06,2017-12-06,1347001430560.0,11918845.1662
112,112,2017-12-07 00:00:00,13541.01,16649.96,13050.0,16599.0,7487.065695,2017-12-07 23:59:59.999,109555325.34649764,57541,3931.041376,57501459.77355417,45395.61009256,2017-12-07,2017-12-07,1407975304730.0,14867776.0589
113,113,2017-12-08 00:00:00,16599.0,17204.99,14015.0,15880.0,17589.013136,2017-12-08 23:59:59.999,271586476.6191432,84727,11950.291812,184080403.13797045,46531.1423036,2017-12-08,2017-12-08,1590896927260.0,11941671.1962
114,114,2017-12-09 00:00:00,15880.01,16269.3,12535.0,14656.07,13918.758687,2017-12-09 23:59:59.999,205372672.98786432,66738,7988.323023,118308773.57971704,49315.71225282,2017-12-09,2017-12-09,1590896927260.0,12337090.7723
115,115,2017-12-10 00:00:00,14664.01,15720.12,12368.0,14899.98,16553.037173,2017-12-10 23:59:59.999,233767963.46201488,80669,8736.869344,123176894.48606697,52013.21543166,2017-12-10,2017-12-10,1590896927260.0,13760601.246
116,116,2017-12-11 00:00:00,14946.26,17470.0,14901.08,16587.97,11820.401762,2017-12-11 23:59:59.999,193045127.9036004,71373,5905.234633,96386375.05815984,57322.41308572,2017-12-11,2017-12-11,1590896927260.0,12969762.0939
