date,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,BTC_quote_asset_volume,BTC_number_of_trades,BTC_ taker_buy_base_asset_volume,BTC_taker_buy_quote_asset_volume,BTC_ohlc,BTC_returns,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,ETH_quote_asset_volume,ETH_number_of_trades,ETH_ taker_buy_base_asset_volume,ETH_taker_buy_quote_asset_volume,ETH_ohlc,ETH_returns,BNB_open,BNB_high,BNB_low,BNB_close,BNB_volume,BNB_quote_asset_volume,BNB_number_of_trades,BNB_ taker_buy_base_asset_volume,BNB_taker_buy_quote_asset_volume,BNB_ohlc,BNB_returns,EOS_open,EOS_high,EOS_low,EOS_close,EOS_volume,EOS_quote_asset_volume,EOS_number_of_trades,EOS_ taker_buy_base_asset_volume,EOS_taker_buy_quote_asset_volume,EOS_ohlc,EOS_returns,XRP_open,XRP_high,XRP_low,XRP_close,XRP_volume,XRP_quote_asset_volume,XRP_number_of_trades,XRP_ taker_buy_base_asset_volume,XRP_taker_buy_quote_asset_volume,XRP_ohlc,XRP_returns,XTZ_open,XTZ_high,XTZ_low,XTZ_close,XTZ_volume,XTZ_quote_asset_volume,XTZ_number_of_trades,XTZ_ taker_buy_base_asset_volume,XTZ_taker_buy_quote_asset_volume,XTZ_ohlc,XTZ_returns,LINK_open,LINK_high,LINK_low,LINK_close,LINK_volume,LINK_quote_asset_volume,LINK_number_of_trades,LINK_ taker_buy_base_asset_volume,LINK_taker_buy_quote_asset_volume,LINK_ohlc,LINK_returns,Date,Mining Revenue,Hashrate_Price_Multiple,Bitcoin_Adjusted_Difficulty,longs_mean,shorts_mean,longs_max,shorts_max,longs_min,shorts_min,longs_close,shorts_close,longs_open,shorts_open,fundingRateClose,fundingRateDailyClose,fundingRateOpen,fundingRateDailyOpen,fundingRateMean,fundingRateDailyMean,snp_Open,snp_High,snp_Low,snp_Close,snp_Volume,snp_ohlc,snp_returns
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,1521580.06202557,3670,101.651358,442442.17937215,4332.014999999999,0.9936759932125864,332.18,348.13,330.73,348.13,4635.43715,1554477.3581603,4973,1166.20029,392130.1151986,339.7925,1.0524199643278211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-27,7319121.60202,4635882.55746,888171856257.0,16047.118306164477,17405.6484713942,16349.88183447,17603.87310707,15587.47043378,17259.29718563,15602.72099615,17579.01671108,16213.38395498,17369.54708373,,,,,,,,,,,,,
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,2591660.52579953,4349,142.787782,612364.20611134,4305.264999999999,1.0177911420159116,348.11,351.0,331.95,346.0,4279.1817,1463758.1691041,4526,1114.26279,383473.9889103,344.265,0.9938815959555338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-28,9642615.80417,6843445.68006,888171856257.0,16592.636146072866,18186.470654546767,17238.35558352,18748.99190129,15991.69818972,17349.11941851,16213.76395498,17370.11238746,17154.13459861,18507.85465612,,,,,,,2447.35,2449.12,2439.03,2444.24,424021664.0,2444.935,0.9995697034428834
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,2682483.73582991,4159,143.442567,641982.02068658,4470.1325,1.0457725528815576,347.0,377.6,346.0,374.7,3032.13425,1102069.6205809,3265,923.16784,334768.8104693,361.325,1.0829479768786128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-29,8451775.68283,5695512.85631,888171856257.0,17170.844408879173,18019.851922319518,17764.38276099,18514.63408976,16252.73001838,17461.53164548,17156.20927435,18507.45810316,17749.14072857,17525.00737834,,,,,,,2431.94,2449.19,2428.2,2446.3,404549824.0,2438.9075000000003,0.9975346992864842
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771,3683714.68666123,5551,196.062252,894620.23750883,4545.795,0.9929503779852993,374.7,393.71,362.05,385.93,4446.59608,1679526.2125115,4812,1285.37799,487837.7447577,379.0975,1.0299706431812117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-30,10384095.2116,6578538.10535,888171856257.0,18417.318428763585,17537.624481325714,18671.8266704,17664.39370219,17740.43328714,17285.69172738,17746.93469008,17526.00737834,18602.11697909,17568.99409059,,,,,,,2446.06,2460.31,2443.77,2457.59,411614752.0,2451.9325,1.0053405059437472
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802,2579878.72401184,4161,131.947325,614342.53390234,4645.1475,1.0372655944713005,384.64,389.36,377.78,384.79,4435.86855,1704441.3942666,4574,1432.19381,550808.610884,384.1425,0.9970460964423601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-31,11046350.7914,7417412.09193,888171856257.0,18648.50353872905,17966.1054314406,18941.54399403,18444.8085189,18219.65162276,17509.43935043,18602.08697909,17569.43309277,18724.13825549,18375.76968451,,,,,,,2462.65,2475.01,2462.65,2471.65,645169344.0,2467.9900000000002,1.0065489160080876
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366,2665165.55924616,4000,118.660103,566254.43089734,4766.3075,1.0232851981739257,386.44,394.39,383.18,388.46,4198.68434,1635227.6137661,4124,1564.05531,609630.9497713,388.1175,1.0095376698978662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01,11260486.7325,7196655.77967,888171856257.0,17969.596769961776,18758.672494453418,18989.20242538,19603.12235575,16806.99371577,18264.54106789,18719.89384633,18375.76968451,17483.65069184,19603.12235575,,,,,,,2474.42,2480.38,2473.85,2476.55,403108736.0,2476.3,1.0033671125085595
2017-09-02,4796.16,4939.19,4286.87,4472.14,929.148595,4257723.944817,7475,379.199863,1738334.08541735,4623.589999999999,0.9249686136867078,388.58,394.32,320.08,343.14,8240.32724,2904008.4613861,8217,2460.66776,868487.2833919,361.53,0.8833341914225403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-02,12131997.8412,7682319.66665,888171856257.0,17132.423094166934,18443.134075775044,18453.82854285,19778.6605974,15724.685000200001,17359.961412,17440.13733325,19579.32582379,18448.66768673,17946.82785152,,,,,,,,,,,,,
2017-09-03,4508.5,4714.76,4298.33,4509.08,691.216198,3121052.75230181,6022,258.934536,1169644.69159694,4507.6675,1.0082600276377751,343.56,367.28,320.08,341.77,5253.62211,1801702.6178029,6153,2240.91753,767938.2521776,343.17249999999996,0.9960074605117445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-03,10374577.6422,7240807.04213,888171856257.0,17901.811080638014,18481.275349880365,18643.02699758,19796.01698333,17294.94219079,17711.98880404,18455.87072035,17941.29633335,17715.77522914,19795.82302629,,,,,,,,,,,,,
2017-09-04,4505.0,4527.49,3972.51,4100.11,1394.644614,5909947.49008974,9317,578.600851,2460362.61291664,4276.2775,0.9093007886309402,339.29,344.55,267.94,283.77,6737.81061,2002446.181802,7403,2954.16805,877011.1066647,308.8875,0.8302952277847675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-04,9700709.88522,6799294.41761,888171856257.0,19036.758921706132,18879.81819355822,21397.50083731,20558.44694988,17440.43347174,16201.23291408,17717.89268595,19796.18233085,21382.65995912,16594.06858409,,,,,,,,,,,,,
2017-09-05,4106.97,4484.99,3603.0,4366.47,1228.938157,5083453.18675071,10084,533.476065,2214297.83961246,4140.3575,1.064964110718981,286.81,321.52,235.55,312.09,8344.41924,2397490.9178386,8999,4312.97282,1251958.9913116,288.99249999999995,1.0997991331007506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-05,10527922.2704,7726470.9291,888171856257.0,20907.92560456338,14913.02041353988,21726.68562335,16640.08303249,19262.90440863,13881.74653178,21385.49429203,16593.6069016,19335.28120309,16257.21873221,,,,,,,2470.35,2471.97,2446.55,2457.85,554135360.0,2461.6800000000003,0.9940960303678876
2017-09-06,4366.49,4662.87,4335.26,4619.77,807.363726,3626346.05544323,7956,422.923063,1903231.7409154,4496.0975,1.0580102462629997,313.29,336.34,312.09,335.0,5486.30988,1793962.8584994,7089,2183.65363,713126.1017199,324.18,1.073408311704957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-06,11928773.7721,8697798.70304,888171856257.0,17411.58910040665,18672.13445773823,19695.34875215,19815.17036,15757.82253142,16260.670565999999,19332.46727173,16260.670565999999,15757.82253142,19405.54097092,,,,,,,2463.83,2469.64,2459.2,2465.54,539031424.0,2464.5525,1.001166886029053
2017-09-07,4619.77,4788.59,4438.19,4691.61,500.429975,2305795.13638315,3070,240.683949,1111299.24357466,4634.54,1.0155505577117474,335.01,342.5,320.17,334.49,3103.89745,1027135.6869524,2635,1321.09841,438034.1732964,333.0425,0.9984776119402985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-07,10290919.4109,7430760.765989999,903315386419.0,16108.027556224777,19669.42970655968,16512.40343199,19876.29010093,15721.24855501,19405.98412343,15756.27252683,19405.98412343,15926.50153285,19746.86743673,,,,,,,2468.06,2468.62,2460.29,2465.1,516386816.0,2465.5175,1.0003915518131588
2017-09-08,4691.66,4735.39,4028.93,4282.8,1132.255046,4866527.22639337,4733,465.962119,2004277.28941755,4434.695,0.9128636011944727,334.49,335.1,272.0,302.99,4915.75693,1494309.8866163,3227,2306.94838,698362.8493954,311.145,0.9058267810696882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-08,11050159.279000001,8072925.27664,922724699725.0,16621.318061473834,20429.261752936312,18719.87897688,21697.65098985,15361.718529,19636.14482692,15926.33019491,19746.88771379,18593.724475400002,21294.19815097,,,,,,,2462.25,2467.11,2459.4,2461.43,501930912.0,2462.5475,0.9987953847417429
2017-09-09,4282.8,4426.62,4150.06,4258.81,658.782952,2815383.46568698,3777,287.989805,1233627.00774409,4279.5725,0.9943985243298777,300.01,307.0,281.66,296.74,2740.58822,813750.3589359,1956,1755.91508,520754.9145735,296.3525,0.9793722565101158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-09,10028960.3015,8027056.38302,922724699725.0,19066.735028506086,21633.663197831618,19451.93321421,22203.87893288,18501.48488496,20988.87045019,18594.79527164,21294.19942413,18961.06184751,21684.91422743,,,,,,,,,,,,,
2017-09-10,4258.81,4283.0,3801.0,4130.37,660.373275,2700371.80819211,3435,291.786887,1193884.03650449,4118.295,0.9698413406561925,296.72,302.78,261.03,293.5,4156.45099,1181903.7721999,2494,2282.40311,651266.4580305,288.5075,0.9890813506773606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-10,9554034.21192,7751843.021319999,922724699725.0,18799.741989909566,21106.331132106694,19916.11840793,22082.5073469,18073.76205956,20204.80170071,18957.92584046,21680.91422743,19916.11840793,21228.93103162,,,,,,,,,,,,,
2017-09-11,4153.62,4334.43,4098.91,4208.47,699.989065,2956842.76250147,4228,322.19833,1361869.71324406,4198.8575,1.0189087176209397,293.51,304.98,285.21,297.3,4829.64647,1436811.8161569,3490,2412.24221,718382.7521632,295.25,1.012947189097104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-11,7845878.46,6329907.319180001,922724699725.0,20857.6834658425,21009.007584879597,21539.86777393,22492.8418912,19897.09346958,19921.45425834,19915.25340793,21223.63049098,21511.84294225,22482.60776235,,,,,,,2474.52,2488.95,2474.52,2488.11,515607584.0,2481.525,1.0077064503324302
2017-09-12,4208.6,4394.59,4040.8,4163.72,879.630319,3725190.62328952,6501,451.78067,1911015.26637066,4201.927500000001,0.9893666819532989,297.78,316.46,286.01,293.96,5176.31402,1573452.4124519,5279,2207.60465,671349.2542697,298.5525,0.9887655566767574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-12,9592187.25763,7981187.4894,922724699725.0,21686.83836468224,23561.39389112331,22471.87917443,25656.14878391,20942.55240118,22173.64889788,21512.47298739,22479.30825542,22431.34929341,25656.14878391,,,,,,,2491.94,2496.77,2490.37,2496.48,490795712.0,2493.8900000000003,1.0049828230624314
2017-09-13,4159.72,4165.38,3760.0,3944.69,913.462545,3570365.92571669,5019,363.053413,1425986.44091325,4007.4475,0.9473955981670237,293.93,294.5,257.05,276.91,6451.22836,1761080.8976069,4527,3264.55673,890399.3695974,280.5975,0.9419989114165194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-13,10193192.4659,8623352.00004,922724699725.0,21110.360771125775,23526.131493437813,22441.412375099997,25734.481322,19192.91083845,21955.26201736,22441.34929341,25666.34005969,20199.06350217,22683.24581545,,,,,,,2493.89,2498.37,2492.14,2498.37,492082400.0,2495.6925,1.0007227664411822
2017-09-14,3944.0,3993.0,3165.13,3189.02,1665.021543,5914261.40460825,9066,761.153976,2711572.43635069,3572.7875000000004,0.8084336158227896,275.76,283.77,215.0,215.21,12601.95676,3110767.7805647,8166,4455.23882,1100931.1454267,247.435,0.7771839225741215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-14,9617966.63547,8715089.78728,922724699725.0,20299.088803429648,21204.244334411134,23795.58788862,25025.36890714,19399.16312382,17812.73463154,20208.7344072,22698.11046533,19487.20543221,19658.39133979,,,,,,,2494.56,2498.43,2491.35,2495.62,533390848.0,2494.9900000000002,0.9997185150013473
2017-09-15,3188.01,3856.0,2817.0,3700.0,1968.866492,6588767.18669446,10445,966.122245,3236325.66838306,3390.2525,1.1602310427654892,217.0,270.93,192.0,253.0,14223.8953,3319311.826735,9198,5945.8076,1386660.0368027,233.23250000000002,1.1755959295571767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-15,7489085.28,7981187.4894,922724699725.0,19112.31069877684,18637.18140392948,20993.95957572,23133.463229,17039.89620246,16132.97665764,19491.69784198,19647.60449489,17765.13998409,18004.7390669,,,,,,,2495.67,2500.23,2493.16,2500.23,1435549568.0,2497.3224999999998,1.0009348734864667
2017-09-16,3674.01,3950.0,3470.66,3714.95,1297.563953,4804878.24721283,8809,624.887842,2314536.03271908,3702.4049999999997,1.0040405405405406,255.99,271.81,235.51,249.31,10362.06011,2647152.3723708,8859,3866.60141,995005.3267045,253.15499999999997,0.9854150197628458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-16,8227898.31767,8256400.8511,922724699725.0,18119.452634981233,20733.846916028782,19287.57904254,25042.21730956,16863.9929633,17614.18328821,17769.07208053,18006.54535664,18474.88397024,23732.41670558,,,,,,,,,,,,,
2017-09-17,3685.23,3748.21,3499.02,3699.99,682.17121,2466490.27859466,6355,273.931976,994843.63045949,3658.1125,0.9959730279007792,249.32,264.39,239.02,257.55,4614.53337,1149704.2949294,5277,1442.00382,360268.4738608,252.57,1.033051221370984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-17,8161423.06774,7751843.021319999,922724699725.0,19330.659634510353,24837.008880884598,19839.72270921,25795.18347505,18476.35244795,23797.54464546,18476.35244795,23834.44905089,19348.83342331,25096.55920935,,,,,,,,,,,,,
2017-09-18,3690.0,4123.2,3690.0,4035.01,1030.006455,4069033.05715863,8220,417.638722,1651863.37125876,3884.5525000000002,1.0905461906653804,257.53,306.22,257.11,294.57,4125.97051,1182937.633574,3440,2342.68408,669740.5214988,278.8575,1.143739079790332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-18,8368699.789969999,8072925.27664,922724699725.0,18314.718947967856,26000.613623285153,19371.6601849,27803.43534112,17526.24064606,23807.05778241,19346.94487973,25098.14087935,17961.21228898,27800.74957615,,,,,,,2502.51,2508.32,2499.92,2503.87,517468352.0,2503.655,1.0025357157515702
2017-09-19,4060.0,4089.97,3830.91,3910.04,902.332129,3558315.19743872,7342,257.320352,1016803.88177532,3972.7299999999996,0.969028577376512,296.0,300.0,277.41,284.0,1869.90852,535773.5652001,1896,789.82937,226839.7065421,289.3525,0.9641171877652172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-19,6960684.991669999,6965995.45168,1052185622750.0,19148.776245710138,28026.953617322073,20626.69567522,29476.79750829,17937.4002747,27109.14485061,17939.23258728,27772.06727061,20488.58285587,28684.05825869,,,,,,,2506.29,2507.84,2503.19,2506.65,501361152.0,2505.9925000000003,1.0009336350255926
2017-09-20,3910.04,4046.08,3820.0,3900.0,720.935076,2839584.45308804,7231,395.275138,1562210.14983916,3919.0299999999997,0.9974322513324672,284.01,294.0,275.91,282.0,1060.56734,302739.7337531,1431,566.64637,162290.4185872,283.98,0.9929577464788732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-20,8091884.16,8556655.83041,1103400932960.0,19677.10722121774,27764.967417767504,20495.39695004,28911.85131506,18657.49668312,26531.6946101,20488.59035587,28684.69825869,19392.72772309,27903.40158519,,,,,,,2506.84,2508.85,2496.67,2508.24,536200416.0,2505.15,0.9996638058573598
2017-09-21,3889.99,3910.0,3567.0,3609.99,1001.654084,3757043.07821264,8714,517.258926,1946238.63873747,3744.245,0.9256384615384615,285.1,287.0,252.1,257.0,1912.55583,516193.1970608,2751,579.77742,156157.9954675,270.3,0.9113475177304965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-21,6147321.55583,6417491.87281,1103400932960.0,19264.493522187862,28363.02202470242,20203.50594168,29385.04129146,18306.05942339,26037.37711489,19405.64389998,27877.39970499,18635.72950923,26037.37711489,,,,,,,2507.16,2507.16,2499.0,2500.6,463948288.0,2503.48,0.9993333732511027
2017-09-22,3592.84,3750.0,3505.55,3595.87,838.966425,3031771.43292849,8152,511.059869,1848104.61254174,3611.0649999999996,0.9960886318244649,258.0,272.97,253.01,264.0,1464.5125,382962.217943,2144,612.61937,160401.2878139,261.995,1.027237354085603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-22,8287404.38525,9653662.98815,1103400932960.0,17264.110586277446,24954.730680432498,18945.17893856,26194.88739271,15323.9959193,22896.780517900002,18635.72950923,26036.55071329,15678.50930163,22976.99004753,,,,,,,2497.26,2503.47,2496.54,2502.22,452975168.0,2499.8724999999995,0.9985590058638373
